|     |   p1 |   p2 |   p3 |   p4 |   p5 |   p6 |   p7 |   p8 |   p9 |   p10 |
|:----|-----:|-----:|-----:|-----:|-----:|-----:|-----:|-----:|-----:|------:|
| p1  |   30 |    0 |    0 |    0 |    1 |    0 |    5 |    0 |    0 |     0 |
| p2  |    0 |   32 |    0 |    0 |    1 |    0 |    0 |    0 |    0 |     3 |
| p3  |    0 |    0 |   32 |    0 |    0 |    3 |    0 |    1 |    0 |     0 |
| p4  |    0 |    0 |    2 |   34 |    0 |    0 |    0 |    0 |    0 |     0 |
| p5  |    0 |    0 |    0 |    1 |   35 |    0 |    0 |    0 |    0 |     0 |
| p6  |    0 |    0 |    3 |    0 |    1 |   30 |    0 |    2 |    0 |     0 |
| p7  |    0 |    0 |    0 |    0 |    0 |    0 |   35 |    0 |    1 |     0 |
| p8  |    0 |    0 |    4 |    0 |    0 |    2 |    0 |   30 |    0 |     0 |
| p9  |    0 |    0 |    0 |    1 |    0 |    0 |    0 |    0 |   35 |     0 |
| p10 |    0 |    1 |    0 |    3 |    0 |    0 |    1 |    0 |    0 |    31 |

